,기사제목,기사내용,신문사
28,[메트로라이프] ‘메이드 인 동대문’ DDP서 만나세요,"

소상공인이 만든 장갑 등 내일까지 판매 행사							연말 서울 중구 동대문디자인플라자(DDP)에 가면 동대문 상인들이 만든 목도리와 장갑, 장식품, 장난감 등을 살 수 있다. 동대문에 있는 서울 대표 디자인 공간인 DDP와 인근 동대문 상인들이 손잡고 여는 일종의 시장이 섰기 때문이다. 동대문 일대 평화시장, 창신문구거리, 방산시장 등을 DDP 안으로 한데 모은 셈이다.DDP를 운영하는 서울디자인재단은 “침체한 동대문 상권을 활성화하고 판로를 개척하기 위해 동대문 상인들과 함께 ‘크리스마스 마켓’이라는 이름의 시장을 31일까지 연다”고 29일 밝혔다. 유럽에서는 성탄절 전후로 이러한 행사를 많이 연다. 관광객들에게는 흥미로운 볼거리이기도 하다.



오세훈 서울시장이 지난 22일 서울 중구 동대문디자인플라자(DDP)에서 열린 크리스마스 마켓을 둘러보고 있다. /서울시										서울디자인재단 관계자는 “이번에 DDP에서 만날 수 있는 상품은 대부분 실력 있는 동대문 소상공인들이 직접 만든 ‘메이드 인 동대문’ 상품”이라며 “행사 기획 단계부터 동대문 패션타운관광특구협의회와 함께했다”고 말했다.김영복 평화시장 대표는 “평화시장은 원래 도매 위주로만 장사를 하는데 DDP에서는 소매로 물건을 판다”며 “소비자로서는 소매로 동대문 물건을 살 기회”라고 했다. 그는 “평상시보다 매출이 올라 상인들의 만족도도 높다”고 말했다.



22일 오후 서울 동대문디자인플라자(DDP)에서 '2022 서울라이트 DDP 크리스마스 전야제'가 열리고 있다. /뉴스1										서울디자인재단은 동대문 소상공인들과 꾸준히 협업하고 있다. 지난 10월에는 동대문 지역 패션 브랜드 등과 행사를 열어 열흘간 1억2000만원이 넘는 매출을 올렸다. 외국 바이어의 눈에 띄어 수출 계약을 따낸 브랜드도 있다.서울디자인재단 박진배 본부장은 “겨울철에는 상권이 침체하기 쉬운데 DDP가 관광객도 모으고 상권도 활성화하는 구심점이 되기 위해 노력하겠다”고 말했다.

",조선일보
29,갑자기 끼어든 車도 피하고… ‘AI 버스기사’ 제법이네,"

청와대~경복궁역 순환하는 자율주행버스 타보니



운전대서 손뗀 기사… 비상상황에 대비해 탑승 - 자율주행 시내버스가 지난 22일 서울 종로구 경복궁 주변 도로를 달리는 모습. 운전기사가 운전대에서 손을 뗐지만 버스는 도로를 따라 미끄러지듯 달렸다. 아직 시험 운행 단계라 비상 상황에 대응할 수 있는 운전기사가 탑승한다. /연합뉴스										지난 28일 오후 서울 종로구 지하철 3호선 경복궁역 버스 정류장. ‘청와대A01′ 자율주행버스를 탔다. 좌석에 앉아 안전벨트를 매자 버스가 미끄러지듯 출발했다. ‘부르릉’ 엔진 소리 대신 ‘시이익’ 전기모터 소리가 들렸다.버스가 정류장을 출발해 도로 한가운데에 접어들자 흰 장갑을 낀 운전기사가 운전대를 놓고 두 손을 높이 흔들었다. 버스는 아무 일 없다는 듯 속도를 내며 달렸다. 버스에 탄 승객들이 “와” 탄성을 질렀다. 버스는 다른 차량과 보행자를 자동으로 피해 달리며 청와대와 경복궁 주변 2.6㎞를 돌았다.이 차는 서울시가 지난 22일 정기 운행을 시작한 자율주행버스다. 대형 시내버스가 자율주행으로 정기 운행하는 건 처음이다. 사람 대신 센서와 카메라, 인공지능(AI)이 버스를 몬다. 경복궁역, 국립고궁박물관, 청와대, 춘추문, 국립민속박물관 등 다섯 정류소에 정차한다. 시민 누구나 예약 없이 무료로 탈 수 있다. 운행 시간은 평일 오전 9시~오후 5시다.시험 운행 단계라 비상 상황에 대비해 사람이 운전석에 탄다. 또 시속 약 20㎞ 정도로 서행한다. 아직은 갑자기 멈춰 서는 일이 잦았다. 버스 앞으로 끼어드는 차에 급정거하기도 했다. 버스 기사 김용호(62)씨는 “매일 시험 운행을 점검해 부족한 점을 보완하고 있다”고 말했다.시민들의 관심도 컸다. 운행 첫날 38명이었던 탑승객은 이날 145명으로 늘었다. 한성구(50·서울 성북구)씨는 “차를 좋아하는 열 살 아들이 너무 타고 싶어 해 휴가를 내고 함께 왔다”고 말했다. 동남아 브루나이에서 온 관광객 웨이(22)씨는 “청와대를 보러 왔다가 한국의 첨단 버스를 타 보고 놀랐다”고 했다.현재 서울에서는 시내 네 곳에서 다양한 자율주행차 시험이 진행되고 있다. 청와대와 청계천에서는 버스가, 마포구 상암동에서는 승용차와 승합차가, 강남구 일대에서는 택시인 ‘로보라이드’가 달리고 있다. 모두 16대로 지방자치단체 중 가장 많다. 국내에서 가장 활발한 자율주행 테스트베드(시험대)인 셈이다.일반 시내버스와 모양이 같은 청와대 버스와 달리 청계천 버스는 8명만 탈 수 있는 미니 버스다. 지난달 운행을 시작했다. 청계천을 따라 청계광장에서 세운상가까지 3.4㎞를 왕복 운행한다. 서울시 관계자는 29일 “한 달간 누적 이용객은 835명으로 특히 토요일은 오전만 운행하는데도 평균 40명 넘는 시민이 이용한다”고 했다. 서울시는 내년 상반기 운행 구간을 청계5가까지 확대할 계획이다.아직 시험 운행 단계인 청와대·청계천 자율주행 버스와 달리 마포구 상암동에서는 서울시 최초로 유료 자율주행차 서비스를 운영 중이다. 디지털미디어시티역과 월드컵 경기장 등을 연결하는 네 노선에서 승용차 6대, 승합차 1대가 달린다. 전용 모바일 앱으로 호출하며 거리와 상관없이 기본 요금만 내면 된다. 승용차는 2000원, 승합차는 1200원이다. 지난 2월 서비스를 시작한 이후 11월까지 9개월간 총 2988명이 이용하는 등 단거리 이동 수단으로 관심을 모으고 있다.또 서울시와 현대자동차는 강남구 강남역·역삼역·선릉역·양재역 일대에서 자율주행 택시인 ‘로보라이드’를 시험 운행 중이다. 로보라이드는 특히 서울 도심에서 가장 복잡한 강남 일대에서 진행 중인 자율주행 시험이다. 청와대·청계천·상암동과 달리 일정한 노선 없이 실제 택시처럼 운행한다. 자율주행 4단계 수준인 현대 아이오닉5 4대를 투입해 시험하고 있다. 자율주행 기술은 1~5단계로 나뉘는데 5단계가 완전 자율주행 수준이다. 현대차 관계자는 “현재는 현대차와 협력사 임직원들을 대상으로 운영 중인데 내년에 일반 시민도 이용할 수 있게 할 계획”이라고 했다.서울시는 내년부터 심야 자율주행차 시험에도 들어간다. 서울시 관계자는 “심야 택시난 등을 해소하기 위해 심야 자율주행 버스·택시 시험을 시작할 계획”이라며 “심야 운행을 위해서는 센서 수준을 높여야 한다”고 말했다. 우선 홍대~흥인지문 구간에 심야 버스 노선을 신설하는 것을 검토하고 있다.백호 서울시 도시교통실장은 “자율주행차를 시민들이 이용할 수 있는 정규 대중교통 수단으로 발전시켜 나갈 것”이라며 “2026년까지 총 1487억원을 투자해 세계 5대 자율주행 도시가 되겠다는 목표”라고 했다.

",조선일보
30,정몽준 이사장 한미동맹재단에 1억,"





										정몽준 아산사회복지재단 이사장이 한미동맹재단에 1억원을 기부했다. 신경수(예비역 육군소장) 재단 사무총장은 29일 본지에 “정 이사장이 내년 70돌이 되는 한미동맹을 위해 써달라며 1억원을 쾌척했다”고 밝혔다.앞서 임성한 작가와 유석현 스카이 저축은행 회장도 지난 10월 12일 같은 날 각각 7500만원, 5000만원을 기부했으며, 이건수 동아일렉콤 회장은 올해 4월 7일과 7월 8일 두 차례에 걸쳐 총 1억7000만원을 한미동맹재단에 기부했다. 허광수 삼양인터내셔날 회장은 지난해 12월 말 3000만원을 기부했다.재단은 기부금을 백선엽 장군 추모식, 제임스 밴플리트 장군 사료 디지털화, 주한미군전우회(KDVA) 지원, 유엔 6·25 전사자 호명 행사, U-SPECK(한국대학생 평화안보연구회) 지원 등 각종 한미동맹 사업을 위해 사용할 계획이다.

",조선일보
31,노웅래 방탄 표결에… ‘70년째 무기명투표’ 논란,"

[정치 인사이드]참석의원數·찬반 여부 비공개내 편 감싸고 국민 알권리 침해							28일 민주당 노웅래 의원에 대한 국회 체포 동의안 표결 결과는 여야 의원 271명이 투표해 찬성 101표, 반대 161표, 기권 9표로 부결됐다는 사실만 공개됐다. 개별 의원들의 찬반 여부는 물론 각 당에서 몇 명이 투표했는지조차 공개되지 않았다. 국민의힘과 민주당은 각각 “이탈표가 없었다”고만 할 뿐, 자체 파악한 투표 참여 숫자를 공개하지 않는다. 민주당 관계자는 “투표 불참 사실조차 의원들이 공개를 꺼려 한다”고 했다.



28일 서울 여의도 국회에서 열린 본회의에서 국회의원(노웅래) 체포동의안이 총투표수 271표, 가결 101표, 부결 161표, 기권 9표로 부결되고 있다. 2022.12.28/뉴스1 										이러한 ‘깜깜이 투표’의 근거는 ‘인사에 관한 안건은 무기명 투표로 표결한다’는 국회법 112조다. 1952년 제정됐다. 국회 관계자는 “찬, 반, 기권은 물론 투표장에 나오지 않는 행위 자체도 의사 표시로 간주해 비공개한다”고 했다. 하지만 이 때문에 의원들이 개인 비리 혐의를 받는 동료까지 정치적 부담 없이 ‘제 식구 감싸기’를 할 수 있다는 비판이 나온다. 투표 결과를 통해 유권자가 판단할 근거가 전혀 공개되지 않고 있다.‘인사에 관한 안건’은 개인 신상에 변동을 미칠 만한 사안을 모두 포괄한다. 국무위원 해임안 및 탄핵안부터 원내 상임위원장 투표까지 모두 무기명으로 한다. 사안에 따라선 무기명 투표가 필요하지만, ‘체포 동의안’까지 인사 사안으로 봐야 하느냐는 논란도 커지고 있다.엄밀히 말해 체포 동의안은 검찰이 청구한 구속영장에 따라 국회의원이 법원 영장 심사를 받게 할지 말지 여부를 결정하는 투표다. 설사 가결이 돼 법원에 출석하더라도 영장이 기각될 수 있다. 일반인은 영장 심사 전 이러한 특권 절차 자체가 없다.국회의원은 회기 중 체포되지 않는다는 불체포 특권이 1948년 제헌 헌법에 포함된 배경은 군사·독재 정권에서 의원들이 부당한 억압을 받지 않도록 하기 위해서였다. 인사 관련 무기명 투표 역시 개별 의원들의 투표 결과가 공개될 때 받을 수 있는 핍박을 막기 위한 목적으로 해석된다. 전문가들은 “지금이 그런 시대냐”며 개정 필요성을 주장한다. 정치권도 매번 선거 때마다 ‘불체포특권 폐지’ ‘체포 동의안 기명 표결’을 공약해 놓고 선거가 끝나면 이를 악용하는 일이 반복되고 있다.국회 관계자는 “무기명 투표를 보장했기 때문에 의원들이 소신에 따라 투표를 할 수 있지만, 현실은 노 의원 사례처럼 ‘방탄 논란’을 자초하고 있다”고 했다. 김형준 명지대 교수는 “미국 의회는 유권자 알 권리를 위해 모든 투표를 기명으로 해 다음 총선에서 판단 기준으로 삼게 한다”며 “개인 부패 사안까지 무기명 투표로 하는 것은 이제 재검토할 때가 됐다”고 말했다.

",조선일보
32,尹 “평화 위해 압도적으로 우월한 전쟁 준비”,"

국방과학연구소서 ‘軍기강잡기’“도발엔 혹독한 대가 깨닫게해야”



윤석열 대통령이 29일 대전 국방과학연구소를 방문해 발언하고 있다. 윤 대통령은 이날 “도발에는 반드시 혹독한 대가가 따른다는 사실을 깨닫게 해야 한다”고 했다. /대통령실										윤석열 대통령은 29일 대전 국방과학연구소(ADD)를 찾아 “북한 무인기의 우리 영공 침범은 도저히 용납할 수 없는 사건”이라며 “도발에는 반드시 혹독한 대가가 따른다는 사실을 깨닫게 해야 한다”고 말했다.윤 대통령은 “평화를 얻기 위해서는 압도적으로 우월한 전쟁 준비를 해야 한다”며 “위장된 평화로는 안보를 지킬 수 없다”고 했다. 이어 “침략 전쟁은 거부하지만, 자위권 행사는 확실해야 한다”며 “상대에게 핵이 있든, 대량 살상 무기가 있든 분명한 메시지를 줘야 한다”고 했다.윤 대통령은 “전쟁을 대비하지 않는 군이란 있을 수 없다”며 “우리 군은 적에게 범접할 수 없는 두려움을 주는 강군이 돼야 한다”고 했다. 이 자리에는 이종섭 국방부 장관을 비롯해 육·해·공군 참모총장, 해병대 사령관, 방위사업청장 등이 참석했다. 군 지휘부가 사실상 총출동한 것인데 “북한 소형 무인기에 허점을 노출한 군의 기강 다잡기”라는 말이 나왔다.윤 대통령은 국방부 산하 국책연구기관인 ADD에서 무인기 및 미사일 연구동을 둘러보며 국내 무기 체계 개발 현황을 보고받고, 연구원들과 오찬도 함께 했다. 윤 대통령은 “우리 영공을 침범하는 모든 비행 물체에 대한 전반적인 대응 체계를 재검토해서 미비점을 신속하게 보완하라”며 “비대칭 전력을 강화하려는 북한에 대응해 우리 군의 전력 증강 계획도 재검토할 필요가 있다”고 했다.윤 대통령은 근거리 정찰 드론, 해안 정찰용 무인기 등 내년도 예산이 260억원 삭감된 것을 언급하며 “우리가 처한 안보 현실에 비춰 보면 안타까운 결과”라고 했다.윤 대통령은 이날 오후에는 용산 대통령실에서 열린 정례 국가안전보장회의(NSC) 상임위를 찾아 대응 방안을 보고받았다. 윤 대통령은 “북한의 무인기 도발은 우리의 정상적 국가 기능을 교란하고 사회적 불안을 조성하기 위한 것으로, 정부는 국민 보호를 위한 다각적 방안을 강구하라”고 지시했다고 이재명 부대변인이 전했다. NSC 상임위는 목요일 오후에 정례 개최된다. 대통령실은 지난 26일 북한 무인기 침범 당시 NSC를 개최하지 않은 데 대해 “일종의 작전 중에 NSC를 열 상황이 아니었다”는 입장을 밝혔었다.

",조선일보
33,"하늘엔 코브라, 땅엔 벌컨포… 5년만에 ‘北무인기 격멸’ 합동훈련","

격추 실패한 육군·공군, 공동으로 대규모 훈련



합동참모본부는 29일 경기도 일대에서 북한 무인기 도발을 상정한 합동 방공 훈련을 실시했다. 이날 훈련에는 지상작전사령부와 각 군단, 공군작전사령부, 육군항공사령부 등이 참가했다. 20㎜ 벌컨포를 운용하는 장병들(위쪽 사진)과 코브라 공격 헬기(아래)의 모습. /합동참모본부·뉴스1										군이 29일 북한 무인기 도발을 상정해 합동 방공 훈련을 실시했다. 지난 26일 북한의 무인기 기습 침투 때 우리 군이 격추에 실패하고 작전에 투입하려던 경공격기가 추락하는 등 대비 태세에 허점이 노출되자 후속 대책 훈련을 시행한 것이다. 육군과 공군이 합동으로 대규모 방공 훈련을 벌인 것은 5년 만이다.합동참모본부는 이날 “김승겸 합참의장 주관으로 경기도 양주시 가납리 일대에서 지상작전사령부와 각 군단, 공군작전사령부, 육군항공사령부 등이 참가한 가운데 적 소형무인기 대응 및 격멸 훈련을 실시했다”고 밝혔다. 훈련에는 KA-1 경공격기, 아파치·코브라 헬기 등 유·무인 전력자산 20여 대가 투입됐다. 군은 북한이 레이더에 잘 잡히지 않는 길이 2m급 무인기 5대를 서울·경기 민가 상공에 침투시켜 추적·격추가 어려웠던 점을 고려해 이번 훈련에서 소형 무인기 대응 작전을 중점적으로 벌였다. 군은 “이번 훈련에서는 2m급 소형 무인기 대응 작전 개념을 정립하고 실전적 작전 수행 절차를 숙달하는 데 중점을 뒀다”고 설명했다.군은 지난 북 침투 경로뿐 아니라 그 외 가능한 다양한 시나리오를 설정해 무인기를 추적·요격하는 방식으로 훈련을 진행했다. KA-1이 적 무인기를 육안 식별하면 GOP(일반전초) 후방 지역에서는 아파치 헬기가 사격하는 절차를 훈련했다. 실제 사격은 하지 않았다. 또 민가 지역으로 적 무인기가 침투했다고 가정한 상황에서는 민가 피해 우려로 교전이 제한되는 점을 고려해 500MD 헬기에 장착한 드론건(재머)으로 타격하는 절차를 숙달했다. 재머는 일종의 전파교란기로서 드론의 GPS 전파수신이나 자세제어장치를 교란시켜 떨어뜨리는 장비다. 드론건은 군이 전력화한 정식 편제 장비는 아니며 시험용으로 들여온 것으로 전해졌다.군은 이날 훈련에서 20㎜ 벌컨포와 단거리 지대공 미사일 ‘천마’ 등 지상 대공무기의 대드론 운용성을 높이는 절차도 함께 숙달했다. 앞으로 군은 저속·저공 비행하는 북한 소형 무인기 위협에 대응해 육군이 운용하는 공격용 헬리콥터와 KA-1 경공격기, 초음속 전투기 등 다양한 속도를 내는 군용기들의 합동성을 강화하는 방향으로 전술을 고안할 것으로 보인다. 앞서 이종섭 국방부 장관은 지난 28일 국회 국방위원회 전체회의에서 “합참 주도의 모든 자산을 통합해서 운영하는 그런 차원의 훈련은 없었다”며 이번 훈련으로 드론 대응 합동성을 강화하겠다는 뜻을 밝혔다.합참은 “이번 훈련을 한 결과 확인된 문제점을 보완하고 각 부대·기능별 임무수행 절차를 숙달해 북한 공중위협 대응 태세를 강화할 것”이라고 밝혔다.지난 26일 북한 무인기 5대가 우리 영공을 침범하고 그중 1대는 서울까지 진입했으나 군은 격추하지 못했다. 이들 무인기는 2ｍ급의 소형으로 탐지·추적이 어려웠다. 벌컨포, 비호 복합 등 지상 배치 대공 무기들은 자체 탑재한 탐지 장비로 목표물을 포착하지 못해 한 발도 사격하지 못했다. 2017년 북한 무인기의 경북 성주 주한미군 사드(THAAD·고고도 미사일 방어체계) 기지 촬영 도발 이후 배치된 국지방공레이더 등 개선된 탐지 자산으로 북한 무인기를 일부 탐지하는 데는 성공했지만, 이를 사격에 활용하지는 못한 것이다. 대공 무기 체계인 비호 복합도 소규모로 대공 사격 훈련을 벌였지만, 실전적 통합 운용 훈련은 지난 5년간 한 번도 실시하지 않아 운용 능력이 저하됐다는 지적을 받았다.

",조선일보
34,尹대통령 “북한인권재단 출범 못해 안타까워”,"





윤석열 대통령이 29일 서울 용산 대통령실 청사에서 김성한 국가안보실장 주재로 열린 국가안전보장회의(NSC) 상임위원회에 참석, 북한 무인기 대응방안 등 관련 보고를 받고 있다. 2022.12.29 /대통령실 제공										윤석열 대통령은 29일 “북한인권법이 제정된 지 6년이 지났지만 아직 북한인권재단이 출범되지 못해 안타깝게 생각한다”고 밝혔다.윤 대통령은 이날 연세대 동문회관에서 사단법인 북한인권 주최로 열린 ‘북한인권 후원의 밤 행사’에서 권영세 통일부 장관이 대독한 축사를 통해 이 같이 말했다.사단법인 북한인권은 북한 인권재단 설립 동력 확보와 북한 인권 문제 공론화 등을 위해 북한 인권 관련 시민사회의 주요 인사들이 주축이 돼 올해 8월 설립된 단체다.윤 대통령은 “최근 북한의 지속되는 위협과 도발 속에서 북한 주민의 인권상황은 더욱 악화하고 있다”고 언급했다.윤 대통령은 “북한 주민들도 자유와 인권이라는 인류 보편적 가치를 마땅히 누릴 수 있어야 한다”며 “정부는 국정과제인 북한 인권 개선을 위해 노력할 것”이라고 강조했다.이어 “북한 인권 관련 시민사회 단체와의 협력과 지원을 보다 강화해 나가겠다”며 “북한 주민의 인권 개선을 위한 대내외적 노력을 하나로 모으는 데 있어 시민사회의 역할이 매우 중요하다”고 덧붙였다.북한인권재단은 북한 인권 증진과 관련한 실태조사와 연구, 정책개발 수행 등을 담당하는 조직으로 지난 2016년부터 시행된 북한인권법 이행의 핵심 기구다.북한인권법은 통일부 장관과 국회 추천을 통해 이사장 1명을 포함한 12명 이내의 북한인권재단 이사를 두도록 했으나, 야당인 더불어민주당은 현재까지 북한인권재단 이사를 추천하지 않고 있다.

",조선일보
35,尹 “안보공조 노력” 日연립여당 대표” 좋았던 때로 돌아가자”,"





윤석열 대통령(오른쪽)이 29일 용산 대통령실 청사에서 야마구치 나쓰오 일본 공명당 대표를 접견하며 기념촬영을 하고 있다.  2022.12.29/뉴스1										윤석열 대통령은 29일 일본 연립여당 공명당의 야마구치 나쓰오 대표를 접견하고 “한일 관계 현안이 조속히 해결되도록 함께 노력하자”고 말했다. 야마구치 대표는 “가장 좋았던 시절의 한일 관계로 조속히 돌아갈 수 있도록 계속 노력해 나가겠다”고 답했다. 양국 간 최대 현안인 강제 징용 배상 문제 등을 언급한 것으로 보인다.윤 대통령은 이날 2박 3일 일정으로 방한한 야마구치 대표를 용산 대통령실에서 접견했다고 이재명 부대변인이 전했다. 공명당은 2012년 이후 자민당과 함께 연립여당을 구성하고 있다.윤 대통령은 취임 이후 김포~하네다 항공 노선 재개 등 양국 국민 간 교류가 확연한 증가세라며 “앞으로 다방면에 걸친 양국 간 인적 교류 활성화를 위해 양국 정부는 물론 국회 차원에서도 계속 노력해 나가야 한다”고 했다. 윤 대통령은 공명당과 야마구치 대표가 한일 관계 개선을 위해 많은 역할을 해 온 것을 평가하면서 “앞으로도 한국에 대한 각별한 애정과 관심을 가지고 노력해 달라”고 했다. 야마구치 대표는 “평화 정당을 표방하는 공명당은 지리·문화적으로 가장 가까운 나라인 한국과의 우호 친선 심화, 교류 확대라는 기본 입장을 확고히 유지해 나갈 것”이라고 했다.윤 대통령은 북한 도발과 관련해 “한일 양국이 긴밀하게 안보 공조를 펴나가자”고 했고, 야마구치 대표는 “한·미·일 협력이 매우 중요하다”고 했다. 야마구치 대표는 기시다 후미오 총리의 안부 메시지를 전했고, 이에 윤 대통령은 사의를 표했다.일본 교도통신은 이날 면담에서 징용 문제에 대한 논의가 이뤄졌을 것으로 예상했다. 기시다 총리는 전날 야마구치 대표에게 “한일 정부는 현안의 해결을 위해 정상회담을 비롯해 외교 당국 간 여러 협의를 하고 있다”며 “한국 관계자에게 이해와 지원을 부탁하길 바란다”고 당부했다고 교도통신은 전했다. 야마구치 대표는 30일 박진 외교부 장관과 회담한 뒤 다음 날 귀국한다.

",조선일보
36,"尹 연하장, 해외 이미지 베꼈다?...대통령실 “적법 계약 통해 구현”","

										윤석열 대통령이 취임 후 첫 새해를 맞아 발송한 신년 연하장을 두고 ‘도용’ 의혹이 불거졌다. 연하장에 삽입된 삽화가 이미지 판매 서비스 기업 ‘셔터스톡’ 홈페이지에 올라온 일러스트와 콘셉트가 흡사하다는 것이다. 대통령실은 “적법한 라이센스 계약을 통해 구현한 것”이라고 해명했다.



이미지 판매 서비스 기업 ‘셔터스톡’ 홈페이지에 올라온 일러스트(왼쪽)와 윤석열 대통령이 취임 후 첫 새해를 맞아 발송한 신년 연하장에 삽입된 삽화(오른쪽)의 모습. /셔터스톡, 대통령실										29일 대통령실 등에 따르면, 윤 대통령은 각계 원로 및 주요 인사, 국가유공자와 유가족 및 사회적 배려계층, 외국 정상 및 외국 주요 인사, 재외동포 등에게 신년 연하장 카드를 발송했다. 윤 대통령 부인 김건희 여사의 서명도 함께 담겨 ‘대한민국 대통령 부부’ 명의로 발송됐다.연하장 내지 오른편에는 대통령 부부의 신년 인사 메시지가 적혔다. “우리는 어렵고 힘든 일들을 이겨내며 더 나은 미래를 만들어 가고 있다. 위대한 국민 여러분과 함께 새로운 도약을 이루겠다”며 “따스한 온기가 국민의 삶에 스며들도록 더욱 노력하겠다. 희망찬 2023년이 되길 기원한다”는 내용이다.도용 의혹이 제기된 건 메시지 왼편에 그려진 일러스트다. 태권도, 한복, 김치, 전통 탈 등 한국 전통과 K-뷰티, K-팝을 상징하는 이미지가 포함됐다. 대통령실은 이 삽화에 대해 “‘K-콘텐츠의 매력을 전 세계로 확산한다’는 국정과제를 반영해 한국의 문화와 전통, 유·무형 문화재를 디자인으로 표현했다”고 설명했다.그런데 이 삽화는 ‘primiaou’라는 기고자가 셔터스톡에 ‘비상업용’으로 올린 이미지와 구성이 매우 흡사하다. 서체까지도 같은 모습이다. ‘HANOK(한옥)’ ‘KIMCHI(김치)’ ‘TAEKWONDO(태권도)’ ‘K-POP(케이팝)’, ‘K-BEAUTY’(케이뷰티)’라는 폰트가 그렇다. 우상단에 전통 탈 이미지를 그려넣은 점, 하단에 광화문을 표현한 그림이 나타나는 것도 동일하다.콘셉트는 사실상 같고, 일부분만 수정한 것으로 추정되는 대목도 있다. 셔터스톡 이미지 상단 중앙에는 글자색을 빨강과 파랑으로 번갈아 쓴 ‘SOUTH KOREA’라는 폰트가 보인다. 대통령 신년 연하장에서는 ‘KOREA’라고 썼다. 색깔 순서와 단어 길이만 바꾼 것이다. 원작에서 나타난 ‘KOREAN BBQ’는 대통령 연하장에서 ‘KOREAN FOOD’로 갈음됐다.대통령실은 그러나 “새해 연하장은 역대 대통령의 연하장을 다수 제작한 경험이 있는 디자인 전문 업체에 의뢰해 진행했다”며 “연하장에 활용된 ‘디자인 이미지’는 외국인 시각에서 우리나라 문화컨텐츠를 형상화한 것으로, 해당 업체에서 적법한 라이센스 계약을 통해 구현한 것으로 알고 있다”고 했다.

",조선일보
37,"이재명 “尹정부 검찰은 민주주의 파괴 도구, 어떻게 제재할지 논의”","





‘검찰 인권침해 수사’ 토론회 참석한 이재명 - 더불어민주당 이재명 대표가 29일 당이 주최한 ‘검찰 인권 침해 수사의 문제점과 제도적 대책 마련을 위한 토론회’에 참석해 발언하고 있다. 이 대표는 이날 “윤석열 정부의 검찰이 공익의 대변자라는 책무를 망각하고 민주주의 파괴의 도구로 전락했다”고 했다. /연합뉴스										더불어민주당 이재명 대표는 29일 “윤석열 정부의 검찰이 공익의 대변자라는 책무를 망각하고 민주주의 파괴의 도구로 전락했다”고 했다. 이 대표는 이날 민주당이 주최한 ‘검찰 인권침해 수사의 문제점과 제도적 대책 마련을 위한 토론회’에서 “야당과 정적을 향해서는 없는 사실도 조작해서 보복의 칼날을 곧추세우고, 대통령 가족이나 그들 자신에 대해서는 있는 범죄 혐의도 덮는 데 급급하다”며 이같이 밝혔다.이 대표는 “바뀐 건 정권과 검사뿐인데, 진술이 180도 바뀌거나 언론을 통해서 수시로 수사 정보를 마구잡이 유출하는 선동 작업도 한다”며 “이런 것 하나하나가 전부 국민의 심판을 받아야 하는 민주주의의 적이고, 형사 처벌을 받아야 할 범죄 행위”라고 했다. 그는 “공정성을 완전히 상실한 정권의 폭주에 분연히 맞서야 한다”며 “일부 검찰의 정치적 중립성을 완전히 상실한 편파·조작 행위에 관해 어떤 제재와 예방적 조치가 가능할지 논의해달라”고 했다. 자신을 겨냥한 성남 FC 의혹 관련 검찰 수사를 ‘조작’으로 규정하며 소환 조사에 앞서 검찰에 견제 메시지를 보낸 것으로 풀이됐다.이 대표는 검찰과 내년 1월 10~12일 사이 출석을 논의 중이다. 당 지도부에서는 소환에 불응해야 한다는 기류가 강했지만, 이 대표가 성남 FC 사건으로 자신을 소환하는 것에 자신감을 보인 것으로 알려졌다. 친명계 핵심 의원은 “성남 FC 사건은 이미 한 번 무죄가 났는데 검찰이 올해가 가기 전에 성과를 내기 위해 수사에 진전이 없는 대장동 사건 대신 이 대표 흠집 내기로 내세운 것”이라며 “큰 문제가 없다고 보고 있다”고 했다. 또 다른 친명계 의원은 “대장동 사건은 이 대표가 변호인도 아직 안 구한 상태”라고 했다. 이 대표는 다만 기자들이 성남 FC 사건의 구체적 출석일을 묻자 “대통령 가족들에 대한 수사는 언제 하는지에 대해서도 관심을 가져주시길 바란다”고 했다.

",조선일보
38,"尹대통령 “과천 터널 화재, 인명 피해 더 없도록 철저 수색”","

										윤석열 대통령은 29일 경기 과천 제2경인고속도로 방음터널 화재 사고와 관련해 “행정안전부와 보건복지부 장관을 중심으로 추가 인명 피해가 발생하지 않도록 사고 현장에 대한 수색을 철저히 실시하라”고 지시했다.



윤석열 대통령이 29일 용산 대통령실에서 열린 국가안전보장회의(NSC) 상임위원회에 임석해 자료를 살피고 있다. /대통령실										윤 대통령은 이날 사고에 대한 보고를 받은 뒤 “구조된 분들에 대해서는 의료 조치에 만전을 기하라”며 이같이 말했다고 대통령실 이재명 부대변인이 브리핑에서 전했다.윤 대통령은 “피해 원인을 철저하게 분석하고 유사한 사고가 발생하지 않도록 재발 방지 대책을 철저히 마련하는 것은 물론 국토교통부 장관 등은 방음터널 등 유사 시설에 대한 긴급 점검을 실시하라”고 했다.앞서 이날 오후 1시 49분 경기도 과천시 갈현동 제2경인고속도로 북의왕IC 인근 방음터널 구간에서 화재가 발생했다. 오후 6시 기준으로 5명이 숨지고 29명이 다쳤다. 현재 중상 3명, 경상 34명은 인근 병원으로 이송된 상태다.

",조선일보
